cd_change_flag,cd_change_flag_post,caseid
NA,NA,1232631931
NA,NA,1232630713
NA,NA,1232259975
NA,NA,1232627475
NA,NA,1232470843
NA,NA,1232632419
NA,NA,1232615717
NA,NA,1232660669
NA,NA,1232197113
NA,NA,1232653885
NA,NA,1231355409
NA,NA,1232649781
NA,NA,1232661359
NA,NA,1232660631
NA,NA,1232661415
NA,NA,1232655009
NA,NA,1232507725
NA,NA,1232633835
NA,NA,1230535805
NA,NA,1232655123
NA,NA,1232646555
NA,NA,1232634869
NA,NA,1232662221
NA,NA,1232634669
NA,NA,1232655545
NA,NA,1232646577
NA,NA,1232655489
NA,NA,1232661199
NA,NA,1232615243
NA,NA,1232631011
NA,NA,1231922259
NA,NA,1232661745
NA,NA,1232643805
NA,NA,1232661151
NA,NA,1232661177
NA,NA,1232629663
NA,NA,1231283965
NA,NA,1232659739
NA,NA,1232663133
NA,NA,1232331101
NA,NA,1232661161
NA,NA,1232263229
NA,NA,1232662667
NA,NA,1232661233
NA,NA,1232131263
NA,NA,1232610765
NA,NA,1232634503
NA,NA,1232661775
NA,NA,1232641133
NA,NA,1232662433
NA,NA,1232662731
NA,NA,1232662929
NA,NA,1232663485
NA,NA,1232663121
NA,NA,1232663147
NA,NA,1232662687
NA,NA,1232663141
NA,NA,1232663833
NA,NA,1232662863
NA,NA,1232661903
NA,NA,1232664415
NA,NA,1232663835
NA,NA,1232664487
NA,NA,1232663009
NA,NA,1232616823
NA,NA,1232653069
NA,NA,1232663635
NA,NA,1232664249
NA,NA,1232662901
NA,NA,1232662655
NA,NA,1232650799
NA,NA,1232654097
NA,NA,1232662701
NA,NA,1232664903
NA,NA,1232662877
NA,NA,1232664089
NA,NA,1232518695
NA,NA,1232663357
NA,NA,1232664007
NA,NA,1232616103
NA,NA,1232664747
NA,NA,1232653177
NA,NA,1232665195
NA,NA,1232664773
NA,NA,1232662709
NA,NA,1232662573
NA,NA,1232660971
NA,NA,1232663943
NA,NA,1232664183
NA,NA,1232665215
NA,NA,1232664623
NA,NA,1232663527
NA,NA,1232608609
NA,NA,1232690827
NA,NA,1232653915
NA,NA,1232685627
NA,NA,1232616727
NA,NA,1232655397
NA,NA,1232691329
NA,NA,1232653233
NA,NA,1232665133
NA,NA,1232691169
NA,NA,1232664337
NA,NA,1232664723
NA,NA,1232691637
NA,NA,1232691471
NA,NA,1232691443
NA,NA,1232648893
NA,NA,1232691077
NA,NA,1232691145
NA,NA,1232691873
NA,NA,1232690939
NA,NA,1232691247
NA,NA,1232691277
NA,NA,1232692233
NA,NA,1232691973
NA,NA,1232692005
NA,NA,1232691749
NA,NA,1232685615
NA,NA,1232674251
NA,NA,1232692033
NA,NA,1232685431
NA,NA,1232683647
NA,NA,1232616063
NA,NA,1232692789
NA,NA,1232692163
NA,NA,1232691335
NA,NA,1232691029
NA,NA,1232692585
NA,NA,1232692251
NA,NA,1232663321
NA,NA,1232691085
NA,NA,1232691895
NA,NA,1232664745
NA,NA,1232692777
NA,NA,1232691931
NA,NA,1232692095
NA,NA,1232691967
NA,NA,1232692247
NA,NA,1232662403
NA,NA,1232691361
NA,NA,1232538525
NA,NA,1232692103
NA,NA,1232691401
NA,NA,1232692193
NA,NA,1232692573
NA,NA,1232693859
NA,NA,1232692755
NA,NA,1232692249
NA,NA,1231558931
NA,NA,1232693861
NA,NA,1232661975
NA,NA,1232693227
NA,NA,1232701791
NA,NA,1232683071
NA,NA,1232693309
NA,NA,1231393861
NA,NA,1232715039
NA,NA,1232721109
NA,NA,1232694265
NA,NA,1232703459
NA,NA,1232721477
NA,NA,1232714917
NA,NA,1232693439
NA,NA,1232715021
NA,NA,1232714811
NA,NA,1232477649
NA,NA,1232720299
NA,NA,1232693369
NA,NA,1232694395
NA,NA,1232693621
NA,NA,1232721553
NA,NA,1232093435
NA,NA,1232720805
NA,NA,1232692099
NA,NA,1232709615
NA,NA,1232720271
NA,NA,1232722499
NA,NA,1232722875
NA,NA,1232722577
NA,NA,1232721865
NA,NA,1232722305
NA,NA,1232693949
NA,NA,1232653613
NA,NA,1232723245
NA,NA,1232723529
NA,NA,1232723903
NA,NA,1232690985
NA,NA,1232691573
NA,NA,1232723389
NA,NA,1232723189
NA,NA,1232724167
NA,NA,1232722605
NA,NA,1232713281
NA,NA,1232723513
NA,NA,1231500433
NA,NA,1232724009
NA,NA,1232684895
NA,NA,1232723405
NA,NA,1232723671
NA,NA,1232721235
NA,NA,1232714973
NA,NA,1232720861
NA,NA,1232723381
NA,NA,1232744349
NA,NA,1232734807
NA,NA,1232724227
NA,NA,1232744419
NA,NA,1232693833
NA,NA,1232724381
NA,NA,1232749181
NA,NA,1232723913
NA,NA,1232683805
NA,NA,1232749103
NA,NA,1232721539
NA,NA,1232638601
NA,NA,1232744685
NA,NA,1232749373
NA,NA,1232749841
NA,NA,1231600007
NA,NA,1232647335
NA,NA,1232722267
NA,NA,1232743815
NA,NA,1232749187
NA,NA,1230063129
NA,NA,1232750805
NA,NA,1232722601
NA,NA,1232751231
NA,NA,1232722705
NA,NA,1232751245
NA,NA,1232744649
NA,NA,1232750291
NA,NA,1232541319
1,1,1232750055
NA,NA,1232751095
NA,NA,1232751883
NA,NA,1232751895
NA,NA,1232749353
NA,NA,1232772495
NA,NA,1232777587
NA,NA,1232778239
NA,NA,1232777359
NA,NA,1232777537
NA,NA,1232772651
NA,NA,1232778529
NA,NA,1232196931
NA,NA,1232778357
NA,NA,1232723541
NA,NA,1232779043
NA,NA,1232751627
NA,NA,1232751589
NA,NA,1231138163
NA,NA,1232469189
NA,NA,1232779623
NA,NA,1232617127
NA,NA,1232800707
NA,NA,1232779071
NA,NA,1232780055
NA,NA,1232795737
NA,NA,1232807121
NA,NA,1232771717
NA,NA,1232779985
NA,NA,1232807061
NA,NA,1232801471
NA,NA,1232807067
NA,NA,1232791473
NA,NA,1232780105
NA,NA,1232810189
NA,NA,1232808841
NA,NA,1232808559
NA,NA,1232808863
NA,NA,1232784923
NA,NA,1232811797
NA,NA,1232812593
NA,NA,1232811757
NA,NA,1232811823
NA,NA,1232712609
NA,NA,1232813299
NA,NA,1232811917
NA,NA,1232813445
NA,NA,1232799101
NA,NA,1232811973
NA,NA,1232813217
NA,NA,1232813059
NA,NA,1232815139
NA,NA,1232779367
NA,NA,1232816617
NA,NA,1232813797
NA,NA,1232811871
NA,NA,1232815465
NA,NA,1232815897
NA,NA,1232683391
NA,NA,1232811883
NA,NA,1232132651
NA,NA,1232820221
NA,NA,1232815901
NA,NA,1232816431
NA,NA,1232837749
NA,NA,1232838111
NA,NA,1232838259
NA,NA,1232814869
NA,NA,1232815375
NA,NA,1232837801
NA,NA,1232682463
NA,NA,1232815703
NA,NA,1232817813
NA,NA,1232807901
NA,NA,1232808613
NA,NA,1232815699
NA,NA,1232808827
NA,NA,1232829023
NA,NA,1232817869
NA,NA,1232673113
NA,NA,1232837835
NA,NA,1232815927
NA,NA,1232840329
NA,NA,1232838369
NA,NA,1232838107
NA,NA,1232841197
NA,NA,1232838069
NA,NA,1232837763
NA,NA,1232832859
NA,NA,1231735333
NA,NA,1232846261
NA,NA,1232843975
NA,NA,1232838213
NA,NA,1232838439
NA,NA,1232844693
NA,NA,1232770537
NA,NA,1232846321
NA,NA,1232846465
NA,NA,1232848269
1,1,1232511567
NA,NA,1232838361
NA,NA,1232848285
NA,NA,1232847631
NA,NA,1232847275
NA,NA,1232848079
NA,NA,1232838325
NA,NA,1232844477
NA,NA,1232847789
NA,NA,1232837793
NA,NA,1232819391
NA,NA,1232850567
NA,NA,1232849701
NA,NA,1232850101
NA,NA,1232851279
NA,NA,1232850869
NA,NA,1232849645
NA,NA,1232647679
NA,NA,1232844023
NA,NA,1232808667
NA,NA,1232846981
NA,NA,1232850133
NA,NA,1232511257
NA,NA,1232848439
NA,NA,1232851403
NA,NA,1232595241
NA,NA,1232713459
NA,NA,1232850105
NA,NA,1232852809
NA,NA,1232851217
NA,NA,1232851099
NA,NA,1232852835
NA,NA,1232852007
NA,NA,1232852717
NA,NA,1232846605
NA,NA,1232854191
NA,NA,1232852769
NA,NA,1232851947
NA,NA,1232851955
NA,NA,1232853347
NA,NA,1232770297
NA,NA,1232853033
1,1,1232853499
NA,NA,1232798613
NA,NA,1232853931
NA,NA,1232808901
NA,NA,1232850143
NA,NA,1232515479
NA,NA,1232653763
NA,NA,1232852899
NA,NA,1232854431
NA,NA,1232853421
1,1,1232850559
NA,NA,1232851891
NA,NA,1232854775
NA,NA,1232853351
NA,NA,1232856221
NA,NA,1232852791
NA,NA,1232834529
NA,NA,1232853079
NA,NA,1232857189
NA,NA,1232853585
NA,NA,1232853621
NA,NA,1232852651
NA,NA,1232856871
NA,NA,1232854049
NA,NA,1232853231
NA,NA,1232713613
NA,NA,1232835683
NA,NA,1232856679
NA,NA,1232835357
NA,NA,1232857707
NA,NA,1232856207
NA,NA,1232854031
NA,NA,1232853965
NA,NA,1232855211
NA,NA,1232854443
NA,NA,1232853617
NA,NA,1232653667
NA,NA,1232854103
NA,NA,1232853555
NA,NA,1232857635
NA,NA,1232853737
NA,NA,1232857837
NA,NA,1232857121
NA,NA,1232854859
NA,NA,1232857093
NA,NA,1232864955
NA,NA,1232853895
NA,NA,1232856527
NA,NA,1232853665
NA,NA,1232854441
NA,NA,1232835187
NA,NA,1232857127
NA,NA,1232880103
NA,NA,1232834711
NA,NA,1232856377
NA,NA,1232879131
NA,NA,1232879847
NA,NA,1232857553
NA,NA,1232857717
NA,NA,1232881045
NA,NA,1232880303
NA,NA,1232863845
NA,NA,1232771665
NA,NA,1232880533
NA,NA,1232653749
NA,NA,1232391649
NA,NA,1232861133
NA,NA,1232643131
NA,NA,1232856825
NA,NA,1232850639
NA,NA,1232880829
NA,NA,1232853235
NA,NA,1232880899
NA,NA,1232837853
NA,NA,1232879813
NA,NA,1232853189
NA,NA,1230865995
NA,NA,1232881309
NA,NA,1232889487
NA,NA,1232887687
NA,NA,1232857829
NA,NA,1232880553
NA,NA,1232880373
NA,NA,1232880877
NA,NA,1232888987
NA,NA,1232889125
NA,NA,1232799285
NA,NA,1232868115
NA,NA,1232880653
NA,NA,1232881315
NA,NA,1232888627
NA,NA,1232857041
NA,NA,1232887737
NA,NA,1232888531
NA,NA,1232888569
NA,NA,1232889297
NA,NA,1232712597
NA,NA,1232882579
NA,NA,1232888739
NA,NA,1232888497
NA,NA,1232888401
1,1,1232888919
NA,NA,1232834919
NA,NA,1232889015
NA,NA,1232835269
NA,NA,1232890773
NA,NA,1232890653
NA,NA,1232857451
NA,NA,1232891183
NA,NA,1232889561
NA,NA,1232888769
NA,NA,1232890613
NA,NA,1232889183
NA,NA,1232892343
NA,NA,1232743577
NA,NA,1232889123
NA,NA,1232892631
NA,NA,1232834463
NA,NA,1232893885
NA,NA,1232893081
NA,NA,1232890967
NA,NA,1232891915
NA,NA,1232887383
NA,NA,1232893857
NA,NA,1232891505
NA,NA,1232892515
NA,NA,1232890971
NA,NA,1232892889
NA,NA,1232616863
NA,NA,1232881217
NA,NA,1232893093
NA,NA,1232892929
NA,NA,1232889157
NA,NA,1232889147
