"Year","State","Class","Variable","District","Category","Variable_Type","Used_in_ANESRake_Weighting","CES_Candidate","True_Candidate","Match_Score","Benchmark","CES_Unweighted","CES_Weighted","CES_ANESRake_Weighted","Error_Unweighted","Error_CES_Weighted","Error_ANESRake","n_respondents"
2010,"ILLINOIS","Candidate Choice","U.S. House","District 12","Democrat","Secondary",FALSE,"Jerry Costello","Jerry F. Costello",0.05882352941176483,59.826841962457756,44.285714285714285,44.43875862567493,53.155093359067415,-15.541127676743471,-15.388083336782827,-6.671748603390341,70
2010,"ILLINOIS","Candidate Choice","U.S. House","District 17","Republican","Secondary",FALSE,"Robert Schilling","Bobby Schilling",0.1777777777777778,52.58122253617432,49.46236559139785,53.02756335868589,67.72666014665367,-3.118856944776475,0.4463408225115657,15.145437610479348,93
2010,"ILLINOIS","Candidate Choice","U.S. House","District 13","Republican","Secondary",FALSE,"Judy Biggert","Judy Biggert",0,63.81027880191097,62.96296296296296,67.29256835945469,63.90761178142259,-0.8473158389480062,3.482289557543723,0.09733297951162001,108
2010,"ILLINOIS","Candidate Choice","U.S. House","District 19","Republican","Secondary",FALSE,"John Shimkus","John M. Shimkus",0.12222222222222223,71.22478546751366,60,67.48077770113609,97.59392253420475,-11.224785467513655,-3.744007766377564,26.369137066691096,70
2010,"ILLINOIS","Candidate Choice","U.S. House","District 10","Republican","Secondary",FALSE,"Robert Dold, Jr.","Robert Dold",0.10416666666666674,51.080229705619985,45.91836734693878,43.62019406680457,37.718251479897255,-5.161862358681205,-7.4600356388154125,-13.36197822572273,98
2010,"ILLINOIS","Candidate Choice","U.S. House","District 11","Republican","Secondary",FALSE,"Adam Kinzinger","Adam Kinzinger",0,57.34896302975654,68.13186813186813,67.756027929286,60.31692161700477,10.782905102111592,10.407064899529466,2.9679585872482335,91
2010,"CALIFORNIA","Candidate Choice","U.S. House","District 46","Republican","Secondary",FALSE,"Dana Rohrabacher","Dana Rohrabacher",0,62.20337927414117,50,45.26208107825699,49.27567477312606,-12.20337927414117,-16.94129819588418,-12.927704501015107,80
2010,"CALIFORNIA","Candidate Choice","U.S. House","District 49","Republican","Secondary",FALSE,"Darrell Issa","Darrell Issa",0,62.784628605471404,67.3913043478261,69.43749493037842,39.67466728440597,4.606675742354689,6.652866324907016,-23.109961321065434,92
2010,"CALIFORNIA","Candidate Choice","U.S. House","District 33","Democrat","Secondary",FALSE,"Karen Bass","Karen Bass",0,86.08062191439546,90.19607843137256,90.84043382868191,99.25909999441896,4.1154565169770905,4.759811914286445,13.178478080023496,51
2010,"CALIFORNIA","Candidate Choice","U.S. House","District 52","Republican","Secondary",FALSE,"Duncan Hunter, Jr.","Duncan D. Hunter",0.19907407407407418,63.086373958437,70.53571428571429,66.11867253471698,76.12835468185453,7.449340327277291,3.0322985762799775,13.041980723417531,112
